# Date: 2017-06-02 16:41:18 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# FID: control_20.zip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Biofluid: Serum (Filtered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# NMR Frequency: 500 MHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# DSS Concentration: 833.0 µM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Fast Profile: No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Concentration Units: µM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HMDB,Compound Name,control_1,control_2,control_3,control_4,control_5,control_6,control_7,control_8,control_9,control_10,control_11,control_12,control_13,control_14,control_15,control_16,control_17,control_18,control_19,control_20,case_1,case_2,case_3,case_4,case_5,case_6,case_7,case_8,case_9,case_10,case_11,case_12,case_13,case_14,case_15,case_16,case_17,case_18,case_19,case_20
Label,,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case
-,DSS,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833
HMDB00148,L-Glutamic acid,45.6,44.9,46.3,34.7,43.9,50.7,49.6,28.2,55.5,64.4,24.1,47.2,23.2,35.6,58.8,48.5,50.9,43.3,43.1,36.2,19.7,54.3,49.8,46.1,16.5,23.7,15.1,57.7,59.4,31.7,51.1,41.5,91.7,87.5,26.8,19.6,21.4,0,2.2,46.7
HMDB00157,Hypoxanthine,8.3,5.7,6.2,9.4,8.6,10.4,4.8,7.7,8.4,20.5,8.5,7.3,6,4.7,12.5,13,8.8,12.2,7.1,13.4,10.8,12.6,6.5,6.2,7.1,6.9,14.7,16.3,7.1,19.4,8.2,19,6.8,8.4,13.3,12.8,6.9,9,8.5,10.2
HMDB00158,L-Tyrosine,47.5,47.8,79.9,67.2,54,43.4,77.9,78.9,82.6,77.1,81.3,61.9,92.5,44.7,57.9,80.4,57.4,69.1,59.9,51.5,52.7,53.2,55.4,60.4,42.9,27.9,43.6,42.7,70.3,60.8,56.2,45.1,64.1,50.9,44.5,45.2,48,38.2,52.9,48.2
HMDB00159,L-Phenylalanine,44.2,49.3,72.5,65.1,70.5,50.7,66.6,69.4,74.3,70.4,77.8,53.5,75,46.6,65.1,74.9,61.8,78.1,54.7,63.1,47.1,61.1,81.9,58.2,45.9,37,59.6,56.2,61.2,52.2,52.1,52.7,62.6,66.2,52.1,74.5,53,45.8,46,58.1
HMDB00161,L-Alanine,342.4,413.1,403.5,303.9,363.6,258.9,378.5,270.8,318,328.6,474.2,295.5,459,283.7,328.2,417.1,326.2,356.4,346.9,336.7,320.5,299.7,239.5,290.2,269.3,186.7,242.4,335.9,320.2,281.4,260.2,216.4,435.8,338.2,245.9,234.9,196.4,237.8,285.2,332
HMDB00162,L-Proline,184.1,135.9,175.5,173.6,144.1,105.8,125.8,125,160.8,156.3,156.8,125.2,340.6,81.6,136.7,201,83.9,104.6,124.4,94.2,120.8,114.9,144.8,111.9,105.6,64.2,77.1,123.1,128.9,56.5,86.8,85.8,224.8,86.5,222.7,78.8,152.7,79,98.7,91.9
HMDB00167,L-Threonine,154.3,56,61.9,81.5,66.3,60.4,70.7,58.5,63.9,106.8,65.3,76.2,59.2,43.2,129.2,92.6,78.2,93.2,73.2,67.9,94.1,82.6,49.5,48.9,90.6,57.7,69.9,64.4,45.2,43.4,48.8,80.4,93.5,60.8,59.8,81.7,89.8,53.5,63.7,55.1
HMDB00168,L-Asparagine,64.5,45.2,16.5,0,56,50.3,33.2,0.3,118.9,0,0,54.9,0,14.1,43.8,55,45.8,40.8,23.8,82.7,48.6,51.1,7.3,6.8,0,37.2,35.4,5.6,34.2,0,26.5,5.4,56.7,26,11.7,8.8,1.5,58.4,38.6,7.9
HMDB00172,L-Isoleucine,17.5,17.8,60.1,35.3,32.4,24.6,40.4,41.2,48.5,45.9,51.8,43.2,53.1,28.2,40.7,53.3,42.9,30.2,23,31.7,21.6,33,26.5,32.7,20.4,19,26.1,32.6,35.6,28.9,26.4,22.1,33,25.5,26.5,18.9,32.5,25.5,40.5,23.5
HMDB00177,L-Histidine,65.8,43.6,41.1,20.5,75.3,54.4,49.4,51.9,43.4,82.8,61.6,26.4,19.8,36.5,46.6,34.6,54.9,42.5,14.8,54.4,29.2,57,17.3,15.8,27.1,28.7,42.8,10,15.9,39.7,37.1,39.1,28.4,18.7,34.8,30.5,19.8,28.2,40.6,18.4
